Giocatore,Ruolo,Squadra_SerieA,Fanta_Squadra,Costo,Media_Voto,Fanta_Media,Gol_Totali,Partite_Giocate,Assist,Ammonizioni,Espulsioni,Gol_Subiti,Rigori_Segnati,Rigori_Sbagliati,Rigori_Parati,Autoreti
Provedel,P,Laz,ReAlcolizzati,1,6.1923076923076925,5.423076923076923,0,13,0,0,0,10,0,0,0,0
Mandas,P,Laz,ReAlcolizzati,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Israel,P,Tor,ReAlcolizzati,4,5.875,3.9375,0,8,0,1,0,15,0,0,0,0
Dimarco,D,Int,ReAlcolizzati,28,6.538461538461538,7.269230769230769,2,13,4,1,0,0,0,0,0,0
Acerbi,D,Int,ReAlcolizzati,2,6.0,5.888888888888889,0,9,0,2,0,0,0,0,0,0
Gosens,D,Fio,ReAlcolizzati,17,5.888888888888889,6.166666666666667,1,9,0,1,0,0,0,0,0,0
Marusic,D,Laz,ReAlcolizzati,1,6.0,6.041666666666667,0,12,1,1,0,0,0,0,0,0
Zortea,D,Bol,ReAlcolizzati,12,5.785714285714286,5.785714285714286,0,7,0,0,0,0,0,0,0,0
Angelino,D,Rom,ReAlcolizzati,8,5.8,5.7,0,5,0,1,0,0,0,0,0,0
Holm,D,Bol,ReAlcolizzati,1,6.6,7.8,1,5,4,0,1,0,0,0,0,0
Olivera,D,Nap,ReAlcolizzati,1,5.642857142857143,5.5,0,7,0,2,0,0,0,0,0,0
Politano,C,Nap,ReAlcolizzati,20,6.038461538461538,6.076923076923077,0,13,1,1,0,0,0,0,0,0
Calhanoglu,C,Int,ReAlcolizzati,20,6.454545454545454,7.545454545454546,3,11,1,2,0,0,2,1,0,0
Mkhitaryan,C,Int,ReAlcolizzati,4,6.071428571428571,5.928571428571429,0,7,0,2,0,0,0,0,0,0
Zaniolo,C,Udi,ReAlcolizzati,3,6.181818181818182,7.181818181818182,4,11,0,2,0,0,0,0,0,0
McKennie,C,Juv,ReAlcolizzati,2,5.9,5.8,0,10,0,2,0,0,0,0,0,0
Zalewski,C,Ata,ReAlcolizzati,2,6.142857142857143,6.714285714285714,1,7,1,0,0,0,0,0,0,0
Isaksen,C,Laz,ReAlcolizzati,10,6.125,6.5,1,8,0,0,0,0,0,0,0,0
Sucic P.,C,Int,ReAlcolizzati,1,6.090909090909091,6.409090909090909,1,11,2,3,0,0,0,0,0,0
Simeone,A,Tor,ReAlcolizzati,2,6.2272727272727275,7.318181818181818,4,11,0,0,0,0,0,0,0,0
Cambiaghi,A,Bol,ReAlcolizzati,1,6.318181818181818,7.136363636363637,2,11,4,2,0,0,0,0,0,0
Thuram,A,Int,ReAlcolizzati,76,6.4375,7.6875,3,8,1,0,0,0,0,0,0,0
