clean_name,Voto,Fantavoto,Giornata
carnesecchi,6.5,5.5,1
djimsiti,5.0,5.0,1
bellanova,5.5,5.5,1
scalvini,5.5,5.5,1
hien,5.0,3.0,1
de roon,5.5,5.5,1
pasalic,6.0,7.0,1
maldini,5.5,5.0,1
zalewski,6.5,6.5,1
ederson ds,5.5,5.5,1
scamacca,7.0,10.0,1
sulemana k,6.0,5.5,1
de ketelaere,5.5,5.5,1
krstovic,5.5,5.5,1
juric,5.5,5.0,1
skorupski,6.0,5.0,1
de silvestri,6.0,6.0,1
lykogiannis,5.0,5.0,1
zortea,5.5,5.5,1
casale,5.5,5.5,1
lucumì,5.0,5.0,1
vitik,6.0,6.0,1
freuler,6.0,5.5,1
orsolini,6.0,6.0,1
odgaard,5.0,5.0,1
pobega,5.0,5.0,1
fabbian,6.0,6.0,1
immobile,6.0,6.0,1
cambiaghi,5.0,5.0,1
castro s,6.5,6.5,1
italiano,5.5,5.5,1
caprile,6.0,5.0,1
luperto,7.0,10.0,1
mina,5.5,5.5,1
zappa,6.0,6.0,1
obert,6.0,5.5,1
idrissi r,6.0,6.0,1
deiola,6.0,6.0,1
mazzitelli,6.0,5.5,1
gaetano,6.5,7.5,1
adopo,6.0,6.0,1
folorunsho,6.0,6.0,1
prati,6.0,6.0,1
esposito se,6.0,6.0,1
luvumbo,6.0,6.0,1
borrelli,5.5,5.0,1
pisacane,6.5,6.5,1
butez,6.0,6.0,1
vojvoda,7.0,7.0,1
valle,6.5,6.5,1
ramon,7.0,7.0,1
kempf,6.0,6.0,1
van der brempt,6.0,5.5,1
smolcic i,6.0,6.0,1
da cunha,6.5,6.5,1
perrone,6.5,6.5,1
paz n,7.5,11.0,1
morata,6.0,6.0,1
douvikas,7.0,10.0,1
rodriguez je,6.5,6.5,1
fabregas,7.0,7.0,1
audero,6.5,5.5,1
bianchetti,6.5,6.5,1
pezzella giu,6.5,7.5,1
terracciano f,6.5,6.0,1
baschirotto,8.0,11.0,1
grassi,5.5,5.0,1
bondo,6.0,5.5,1
zerbin,7.0,8.0,1
payero,6.0,5.5,1
collocolo,6.5,6.5,1
vandeputte,6.0,6.0,1
sanabria,6.0,6.0,1
bonazzoli,7.5,10.5,1
okereke,6.0,6.0,1
nicola,7.0,7.0,1
de gea,5.5,4.5,1
gosens,6.5,6.5,1
ranieri l,6.0,6.0,1
marì,5.0,4.5,1
parisi,5.5,5.5,1
pongracic,6.0,5.5,1
viti,6.0,6.0,1
dodò,6.0,6.0,1
comuzzo,6.0,6.0,1
mandragora,7.0,10.0,1
fagioli,6.0,6.0,1
sohm,5.5,5.5,1
gudmundsson a,6.5,7.5,1
fazzini,6.0,6.0,1
ndour,5.5,5.5,1
kean,5.0,5.0,1
pioli,6.0,6.0,1
leali,6.0,6.0,1
martin,6.0,5.5,1
vasquez,6.5,6.5,1
marcandalli,6.5,6.5,1
norton-cuffy,5.0,5.0,1
messias,5.5,5.5,1
frendrup,6.0,6.0,1
